,page.status_code,ID,Name,Price,Release_Date,Standing screen display size,Screen Resolution,Max Screen Resolution,Processor,RAM,Memory Speed,Hard Drive,Graphics Coprocessor,Chipset Brand,Card Description,Wireless Type,Number of USB 3.0 Ports,Average Battery Life (in hours),Brand,Series,Item model number,Hardware Platform,Operating System,Item Weight,Product Dimensions,Item Dimensions LxWxH,Color,Processor Brand,Number of Processors,Computer Memory Type,Flash Memory Size,Hard Drive Interface,Optical Drive Type,Power Source,Batteries,200,B0B1L638D3,"HP Pavilion Laptop (2022 Model), 17.3"" FHD IPS Display, Intel Core i3-1115G4 Processor, 16GB RAM, 256GB PCIe SSD, 1TB HDD, Anti-Glare Screen, Long Battery Life, Webcam, HDMI, Bluetooth, Wi-Fi, Win 11",$589.00,"May 17, 2022",17.3 Inches,Unnamed: 6,1920 x 1080 Pixels,4.1 GHz core_i3,16 GB DDR4,2666 MHz,256 GB SSD,Intel UHD Graphics,Intel,Integrated,"Bluetooth, 802.11a/b/g/n/ac",Unnamed: 16,Unnamed: 17,HP,Pavilion,Pavilion.1,PC,Windows 11,6.89 pounds,Unnamed: 24,Unnamed: 25,Natural Silver,Intel.1,2,DDR4 SDRAM,256 GB,PCIE x 4,Unnamed: 32,Unnamed: 33,Unnamed: 34
1824,200.0,B0BLZ1S65Y,"Lenovo Legion 5 Pro Gaming Laptop, 16"" WQXGA (2560x1600) 165Hz, 12th Gen Intel Core i7-12700H -GeForce RTX 3050Ti, Win 11 Home, with HDMI (32GB RAM | 2TB PCIe SSD)","$1,579.90","November 10, 2022",16 Inches,,2560 x 1600 Pixels,4.7 GHz core_i7,32 GB DDR5,,SSD,,NVIDIA,Dedicated,Bluetooth,4.0,,Lenovo,Legion 5 Pro,,,Windows 11,9.98 pounds,14.17 x 0.78 x 10.41 inches,,32GB RAM | 2TB PCIe SSD,Intel,14.0,DDR5 RAM,2 TB,,,,1 Lithium Ion batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1825,200.0,B0BDT1ZK1W,"HP Chromebook 14a-na0040nr, 14-inch HD Touchscreen Laptop, Intel Celeron N4000, 4GB RAM, 32GB eMMC, Ceramic White, Chrome OS (Renewed)",,"September 9, 2022",14 Inches,,1366x768 Pixels,1.1 GHz celeron_n4000,4 GB LPDDR4,,32 GB Emmc,Intel UHD Graphics 600,Intel,Integrated,,,14 Hours,HP,HP Chromebook,9LL03UA#ABA,,Chrome OS,3.24 pounds,12.82 x 8.6 x 0.7 inches,,Ceramic White,Intel,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1826,200.0,B08JG35YD2,"HP Chromebook 14"" HD Thin and Light Laptop, Intel Celeron N4000 Dual-Core Processor, 4GB RAM, 32GB eMMC, Backlit Keyboard, WiFi, Up to 13 hrs Battery Life, Chrome OS, Ceramic White",$279.00,"September 18, 2020",14 Inches,1366x768,1366x768 Pixels,1.1 GHz celeron_n4000,4 GB DDR4,2.6 GHz,32 GB SSD,Intel graphics,Intel,Integrated,802.11ac,,13 Hours,HP,Na0020,Na0020,PC,Chrome OS,3.3 pounds,,,,Intel,2.0,DDR4 SDRAM,32 GB,Solid State,,AC & Battery,1 Lithium Ion batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1827,200.0,B09ZFYDBHW,"Dell 2022 Newest Inspiron 16 Plus 7610 Laptop, 16"" 3K Non-Touch Display, Intel Core i7-11800H, 16GB RAM, 1TB SSD, FP Reader, Webcam, Backlit KB, HDMI, Bluetooth, WiFi 6, Win 11, Mist Blue",$968.00,"May 3, 2022",16 Inches,,3072 x 1920 Pixels,2.3 GHz core_i7_11800h,16 GB DDR4,4.6 GHz,1 TB SSD,Intel UHD Graphics,Intel,Integrated,Bluetooth,2.0,,Dell,Inspiron,7610,PC,Windows 11,4.4 pounds,0.75 x 13.99 x 9.74 inches,,Intel UHD Graphics,Intel,8.0,DDR4 SDRAM,1 TB,PCIE x 4,,AC & Battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1828,200.0,B0B5W3WFL9,"2022 HP Pavilion 15.6"" FHD Touchscreen Laptop 12th Gen 10-Core Intel i7-1255U 32GB DDR4 2TB NVMe SSD Iris Xe Graphics HDMI Webcam WiFi-6 Bluetooth Backlit Keyboard Windows 11 Pro w/ 32GB USB Included",,"July 5, 2022",15.6 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,3 GHz core_i7,32 GB DDR4,3200 MHz,2 TB SSD,Intel Iris Xe Graphics,Intel,Integrated,802.11ax,3.0,,HP,15-EG2073CL,15-EG2073CL,PC,Windows 11 Pro,3.86 pounds,14.18 x 9.21 x 0.7 inches,,Blue,Intel,4.0,DDR4 SDRAM,,Solid State,No Optical Drive,AC & Battery,1 Lithium Ion batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1829,200.0,B0B6HSQB1Y,"Dell Alienware X14 Gaming Laptop (2022) | 14"" FHD | Core i7 - 1TB SSD - 16GB RAM - RTX 3050 | 14 Cores @ 4.7 GHz - 12th Gen CPU Win 11 Home (Renewed)","$1,553.70","July 14, 2022",14 Inches,,1920x1080 MP,3.5 GHz core_i7,16 GB DDR4,,1000 GB SSD,NVIDIA GeForce RTX 3050,NVIDIA,Integrated,Bluetooth,,,Dell,Alienware X14 Laptop,Alienware X14 Laptop,PC,Windows 11 Home,8 pounds,,,Lunar Light,Intel,14.0,DDR4 SDRAM,,Solid State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830,200.0,B07X6X1QPH,"Asus ROG Strix G (2019) Gaming Laptop, 17.3” IPS Type FHD, NVIDIA GeForce GTX 1650, Intel Core i7-9750H, 16GB DDR4, 512GB PCIe Nvme SSD, RGB KB, Windows 10 Home, GL731GT-PH74","$1,069.00","October 1, 2019",17.3 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,8032,16 GB DDR4,2666 MHz,SSD,NVIDIA GeForce GTX 1650,NVIDIA,Dedicated,"Bluetooth, 802.11a/g/n/ac",,,ASUS,Asus ROG Strix G Gaming Laptop,GL731GT-PH74,PC,Windows 10,6.28 pounds,15.74 x 11.55 x 1.04 inches,,Black,Intel,8.0,DDR4 SDRAM,512,Unknown,,AC & Battery,1 Lithium Polymer batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1831,200.0,B09HZYFFTN,"2021 Newest HP 15.6"" FHD IPS Business Laptop, 11th Gen Intel i3-1115G4, 16GB DDR4 RAM, 512GB PCIE SSD, Fingerprint, Lightweight, Fast Charge, Bundle with HDMI, Windows 10 Home, Silver",$529.99,"October 8, 2021",15.6 Inches,,,4.1 GHz core_i3,16 GB DDR4,4.1 GHz,SSD,,Intel,Integrated,Bluetooth,,,HP,,HP,,,3.86 pounds,14.1 x 9.53 x 0.78 inches,,,Intel,2.0,DDR4 SDRAM,,USB 3.1,,Battery Powered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1832,200.0,B08D6KM1B6,"HP 2020 Envy X360 2-in-1 15.6"" FHD IPS Touchscreen Premium Laptop PC | AMD 4th Gen Ryzen 5 Six-Core 4500U | 16GB RAM | 512GB PCIe SSD | Backlit Keyboard | Fingerprint Reader | WiFi 6 | Windows 10",$719.88,"July 17, 2020",15.6 Inches,,,2.3 GHz amd_r_series,16 GB,2.3 GHz,512 GB,,AMD,Integrated,Bluetooth,,7 Hours,HP,,HP,PC,Windows 10,7.39 pounds,14.1 x 9.1 x 0.7 inches,,,AMD,6.0,DDR4 SDRAM,512 GB,Serial ATA,,,1 Lithium Ion batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,200.0,B0B9CHTDF7,"Lenovo ThinkPad P16 Intel Core i9-12900HX, 16C, 16.0"" WQUXGA (3840x2400) IPS 600nits Anti-Glare, NVIDIA RTX A3000 12GB GDDR6, 32GB DDR5 RAM, 1TB NVMe SSD, Backlit KYB, Fingerprint Reader, Windows Pro","$2,999.00","August 1, 2022",16,,3840x2400 Pixels,2.3 GHz intel_core_i9,12 GB DDR5,,1 TB SSD,Graphics NVIDIA RTX A3000 12GB GDDR6 ECC,NVIDIA,Integrated,Bluetooth,3.0,8 Hours,Lenovo,Lenovo ThinkPad P16,,,Windows 11 Pro,6.5 pounds,14.3 x 10.5 x 1.2 inches,,Gray,Intel,16.0,DDR5 RAM,32 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1834,200.0,B09JL44GY7,"HP EliteBook 835 G8 13.3"" Touchscreen Notebook - Full HD - 1920 x 1080 - AMD Ryzen 7 PRO 5850U Octa-core (8 Core) 1.90 GHz - 16 GB RAM - 512 GB SSD",$934.36,"October 15, 2021",13.3 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,1.9 GHz amd_ryzen_7,16 GB DDR4,,512 GB SSD,AMD Radeon Graphics,AMD,Radeon Graphics,"Bluetooth, 802.11ax",4.0,6 Hours,HP,EliteBook 835 G8,4X618UT#ABA,PC,Windows 10 Pro,2.8 pounds,8.1 x 12.1 x 0.7 inches,,Silver,AMD,1.0,DDR4 SDRAM,512 GB,Solid State,No,Battery Powered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1835,200.0,B0B9PSPWJR,"HP Laptop 14-fq0039ms 14"" Touchscreen HD, AMD Ryzen 3 3250U, AMD Radeon Graphics 8GB DDR4 RAM, 128GB SSD Storage, Windows 11 Home in S Mode, Natural Silver (Renewed)",$299.99,"August 15, 2022",14 Inches,,1366x768,2.6 GHz ryzen_3_3250u,DDR4,,128 GB SSD,AMD Radeon Graphics,AMD,Integrated,,,,HP,HP Laptop,544R6UA,,Windows 11 Home,3.24 pounds,,,Natural Silver,AMD,2.0,,,,No Optical Drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1837,200.0,B07GCS5MPR,"Dell Precision 7510 15.6in Laptop, Core i7-6820HQ 2.7GHz, 16GB Ram, 512GB SSD, Windows 10 Pro 64bit, Webcam (Renewed)",$379.00,"August 11, 2018",15.6 Inches,,1920 x 1080 Pixels,2.7 GHz core_i7_6820hq,16 GB DDR4,2.7 GHz,512 GB,Intel,NVIDIA,"Integrated, Dedicated",,,5 Hours,Dell,Dell Precision,FBA-Dellprecision7510i7-r,Windows,Windows 10 Pro,3 pounds,14.88 x 10.28 x 1.3 inches,,Black,Intel,1.0,DDR DRAM,512 GB,,,,1 Lithium Ion batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1839,200.0,B0B85PV8ZB,"Newest Dell Inspiron 3000 i3511 Laptop - 15.6"" FHD Touchscreen - 11th Gen Intel Core i5-1135G7 - Iris Xe Graphics - 16GB DDR4 - 512GB NVMe SSD - HDMI Bluetooth Wi-Fi - Windows 11 Home",,"August 26, 2022",15.6 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,2.4 GHz core_i5_family,16 GB DDR4,,512 GB SSD,Intel Iris Xe Graphics,Intel,Integrated,802.11ac,2.0,,Dell,Inspiron 3000,i3511,PC,Windows 11 Home,3.82 pounds,14.11 x 9.27 x 0.74 inches,,Carbon Black,Intel,4.0,DDR4 SDRAM,,Solid State,,AC & Battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1840,200.0,B08TYL2529,"Lenovo 2022 IdeaPad Flex 5 2-in-1 14"" FHD IPS Touchscreen Laptop, Intel Core i3-1115G4 Processor, 4GB RAM, 128GB SSD, HDMI, WiFi, Bluetooth, Webcam, Windows 10 S, Abyss Blue, IFT 32GB USB Drive",$429.00,"January 25, 2021",14 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,3 GHz core_i3_1115g4,4 GB DDR4,3200 MHz,128 GB SSD,Intel UHD Graphics,Intel,Integrated,802.11a/g/n/ac,3.0,10 Hours,Lenovo,flex5-14-i3,Flex5-14-ryzen3,PC,Windows 11 S,3.63 pounds,12.7 x 9.8 x 0.75 inches,,Abyss Blue,Intel,4.0,DDR4 SDRAM,128 GB,Solid State,No Optical Drive,AC & Battery,1 Lithium Ion batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1841,200.0,B08YKFYGJP,"HP 255 G8 15.6"" Notebook, AMD Athlon Gold 3150U, 8GB Memory, 256GB SSD",$349.99,"March 10, 2021",15.6 Inches,,,2.4 GHz amd_a_series,,,SSD,,AMD,Integrated,802.11a/b/g/n/ac,3.0,,HP,2Q0G3UT#ABA,2Q0G3UT#ABA,,Windows 10,4.69 pounds,14.1 x 9.5 x 0.78 inches,,Gray,AMD,1.0,DDR4 SDRAM,,,BD-R,,1 Lithium Ion batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1842,200.0,B0BRZ7FWR3,"ASUS 2023 Newest Vivobook 14"" HD Light and Thin Laptop, AMD Ryzen 3 3250 (Up to 3.5GHz), Intel HD Graphics 5000, 12GB RAM, 512GB PCIe SSD, Wi-Fi 5, HDMI, Win 11 Home, Grey + 3in1 Accessories",$399.90,"January 9, 2023",14 Inches,,1600 x 768 Pixels,3.5 GHz ryzen_3,12 GB DDR4,,512 GB SSD,Intel HD Graphics 5000,Intel,Integrated,802.11a/b/g/n/ac,2.0,,ASUS,ASUS Laptop,ASUS,PC,Windows 11 Home in S Mode,3.52 pounds,12.81 x 8.5 x 0.78 inches,,Gray,AMD,2.0,DDR4 SDRAM,512 GB,USB,No Optical Device,Battery Powered,1 Lithium Ion batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1843,200.0,B0B5MC1C8C,"HP 2022 Newest 14"" HD Home and Business Laptop AMD Dual Core Ryzen 3-3250U 8GB RAM 128GB M.2 SSD Vega 3 Graphics RJ-45 USB-C 4K Output HDMI Bluetooth Webcam Windows 11 Pro w/ RE USB 3.0 Flash Drive",,"July 1, 2022",14 Inches,1366x768,1366 x 768 Pixels,2.6 GHz ryzen_3_3250u,8 GB DDR4,2666 MHz,128 GB SSD,AMD Radeon Vega 3,AMD,Dedicated,802.11ac,3.0,8 Hours,HP,HP-14-DK1022WM,HP-14-DK1022WM,PC,Windows 11 Pro,3.33 pounds,12.76 x 8.9 x 0.78 inches,,Silver,AMD,2.0,DDR4 SDRAM,,Solid State,,AC & Battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1845,200.0,B09YKJS64G,"HP Pavilion Business Laptop (2022 Model), 15.6"" HD Micro-Edge Touchscreen, Intel Core i5-1135G7 (Beats i7-1065G7), Intel Iris Xe Graphics, 16GB RAM, 1TB SSD, Compact Design, Long Battery Life, Win 11",$699.00,"April 21, 2022",15.6 Inches,,1366 x 768 Pixels,4.2 GHz core_i5,16 GB DDR4,2666 MHz,SSD,Intel Iris Xe Graphics,Intel,Integrated,Bluetooth,,11 Hours,HP,Pavilion,Pavilion,PC,Windows 11,5.19 pounds,,,,Intel,4.0,DDR4 SDRAM,1 TB,PCIE x 4,,Battery Powered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1846,200.0,B09XJMYQ5S,"2022 LENOVO IdeaPad Flex 5i 14"" Touchscreen 2-in-1 Laptop 11th Dual-Core Intel i3-1135G4 4GB DDR4 128GB NVMe SSD UHD Graphics HDMI USB-C Fingerprint WiFi-5 Windows 11 , Gray w/32GB USB Drive",,"April 8, 2022",14 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,3 GHz core_i3_family,4 GB DDR4,4.1 GHz,128 GB SSD,Intel UHD Graphics,Intel,Integrated,801.11ac,3.0,,Lenovo,82HS00R9US,82HS00R9US,PC,Windows 11 Home,3.3 pounds,12.65 x 8.56 x 0.82 inches,,Graphite Grey,Intel,2.0,DDR4 SDRAM,,PCIE x 4,,AC & Battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1847,200.0,B07HCN93H6,"Dell Latitude E7470 14in Laptop, Core i7-6600U 2.6GHz, 8GB Ram, 256GB SSD, Windows 10 Pro 64bit (Renewed)",$229.00,"September 14, 2018",14 Inches,,,2.6 GHz,8 GB DDR4,,256 GB SSD,Intel HD Graphics 6600,Intel,Integrated,,,,Dell,Dell Latitude,,,Windows 10 Pro,3.31 pounds,20.5 x 12.5 x 2.75 inches,,,,2.0,DDR4 SDRAM,256 GB,USB,,,1 Lithium Ion batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1848,200.0,B08KYHM39D,Dell XPS 15 9500 15.6 4K UHD+ (3840 x 2400) Touchscreen 10th Gen Intel Core i7-10750H 32GB RAM 1TB NVMe SSD GeForce GTX 1650 Ti Windows 10 Professional Silver (Renewed),"$1,699.00","October 9, 2020",15.6 Inches,,(3840 x 2400) Pixels,2.6 GHz core_i7_family,32 GB DDR4,2.6 GHz,1 TB SSD,NVIDIA GeForce GTX 1650,NVIDIA,Dedicated,Bluetooth,,,Dell,Dell XPS,,PC,Windows 10,4.5 pounds,13.57 x 9.06 x 0.71 inches,,Silver,Intel,6.0,DDR4 SDRAM,1 TB,Solid State,,Battery Powered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1849,200.0,B08PHMH7TK,"Lenovo ThinkPad L13 Yoga Gen 2 2-in-1 13.3"" FHD IPS Touch Laptop, 11th Gen Intel Core i7-1165G7, 16GB DDR4, 512GB SSD PCIe, Thunderbolt 4, ThinkPad Pen Pro, Fingerprint Reader Win Pro 64 - Black",,"December 2, 2020",13.3 Inches,1920 x 1080 pixels,1920 x 1080,2.8 GHz core_i7,16 GB DDR4,3200 MHz,512 GB SSD,Intel Iris Xe Graphics,Intel,Integrated,Bluetooth,2.0,,Lenovo,20VK0019US,20VK0019US,PC,Windows 10 Pro,4.4 pounds,12 x 9 x 1 inches,,Black,Intel,4.0,DDR4 SDRAM,512,Solid State,BD-R,Battery Powered,1 Lithium Ion batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1850,200.0,B09QK3MN7W,"2022 HP 15.6"" FHD IPS Laptop Computer, 11th Gen Intel Core i3-1115G4 Processor, 16GB DDR4 RAM, 512GB PCIe SSD, Intel UHD Graphics, HD Webcam, HD Audio, Windows 10 S, Silver, 32GB SnowBell USB Card",$479.00,"November 19, 2020",15.6 Inches,,1920 x 1080 Pixels,3 GHz core_i3_family,16 GB DDR4,,512 GB SSD,Intel UHD Graphics,Intel,Integrated,Bluetooth,,,HP,HP,HP,PC,Windows 10 S,3.86 pounds,19 x 12 x 3 inches,,Natural silver,Intel,2.0,DDR4 SDRAM,512 GB,Solid State,,Battery Powered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1851,200.0,B0B77XDZK3,"Latest HP Pavilion 15 Laptop | 15.6"" IPS FHD Touchscreen | Intel 4-Core i5-1135G7 | Iris Xe Graphics | 16GB DDR4 512GB NVMe SSD | WiFi6 | BT | Type-C | HDMI | Webcam | Backlit KB | Windows 11 Pro",,"July 21, 2022",15.6 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,2.4 GHz core_i5_family,16 GB DDR4,3200 MHz,512 GB SSD,Intel Iris Xe Graphics,Intel,Integrated,802.11ax,3.0,6 Hours,HP,15-EG0050,HP-15-EG0050,PC,Windows 11 Pro,8 pounds,14.18 x 9.21 x 0.7 inches,,Gold,Intel,4.0,DDR4 SDRAM,,Solid State,,AC & Battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1853,200.0,B07D6D36PT,"Dell Latitude 7480 FHD Ultrabook Business Laptop NoteBook PC (Intel Core i7-7600U, 8GB Ram, 256GB Solid State SSD, HDMI, Camera, WIFI, Thunderbolt 3) Win 10 Pro (Renewed)",$299.00,"December 3, 2017",14 Inches,,1920 x 1080,2.8 GHz core_i7,8 GB SO-DIMM DDR4,3.9 GHz,256 GB SSD,Intel Graphic,Intel,Integrated,Bluetooth,,,Dell,Dell Latitude,Latitude 7480,PC,Windows 10 Pro,2.99 pounds,20.5 x 12.5 x 2.75 inches,,,Intel,2.0,DDR4 SDRAM,256 GB,Serial ATA,,Battery Powered,1 Lithium Ion batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1854,200.0,B01LVZTWWX,"Dell XPS9360-4841SLV 13.3"" Laptop (7th Generation Intel Core i7, 8GB RAM, 256 GB SSD, Silver)",$679.00,"September 12, 2016",13.3 Inches,,3200X1800 pixels,3.5 GHz core_i7,8 GB DDR3,1866 MHz,256 GB SSD,Intel HD Graphics 620,Intel HD Graphics 620,"Intel HD Graphics 620, Integrated",802.11ac,2.0,,Dell,XPS 13 (9360),XPS9360-4841SLV,PC,Windows 10,2.7 pounds,7.88 x 11.98 x 0.6 inches,,Machined Aluminum Display Back & Base In Silver,Intel,2.0,Unknown,256,ATA,,,1 Lithium Ion batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1855,200.0,B086H38JC6,"HP 15.6"" HD Intel 10th Gen i3-1005G1 3.4GHz 4GB RAM 128GB SSD Webcam Windows 10 Laptop (1W830UA)",,"March 27, 2020",15.6 Inches,,1366 x 768 Pixels,1.2 GHz core_i3_family,4 GB DDR4,3.4 GHz,128 GB SSD,Intel UHD Graphics,Intel,Integrated,Bluetooth,1.0,,HP,1W830UA,1W830UA,PC,Windows 10,3.7 pounds,14.11 x 9.53 x 0.7 inches,,Natural Silver,Intel,2.0,SDRAM,,,No Optical Drive,Corded Electric,1 Lithium Ion batteries required.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,200.0,B0B1SW8J8Z,"2022 HP Pavilion 15.6"" FHD Touchscreen Laptop 11th Gen 4-Core Intel i7-1165G7 32GB DDR4 2TB NVMe SSD Iris Xe Graphics HDMI Webcam WiFi-6 Bluetooth Backlit Keyboard Windows 10 Pro w/ 32GB USB",,"May 19, 2022",15.6 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,2.4 GHz core_i7_family,32 GB DDR4,,2 TB SSD,Intel Iris Xe Graphics,Intel,Integrated,802.11ax,3.0,,HP,15-EG0070WM,15-EG0070WM,PC,Windows 10 Pro,3.86 pounds,14.18 x 9.21 x 0.7 inches,,Lunar Gold,Intel,4.0,DDR4 SDRAM,,Solid State,,AC & Battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1858,200.0,B08NL9QB39,"THINKPAD X1 FOLD GEN1, Intel CORE I5-L16G7 (1.40GHZ, 4MB), 13.3 1536 X 2048 TOUC",,"November 16, 2020",13,,2048 x 1536 Pixels,,,,,,Intel,Integrated,,,,Lenovo,Lenovo Thinkpad,20RK000NUS,,Windows 10 Pro,3 pounds,,,Black,Intel,4.0,,512 GB,,,,1 Lithium Ion batteries required.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1859,200.0,B09N8SZWJJ,HP Omen 16 Gaming Laptop I 16.1” Full HD IPS 144Hz 7ms I 11th Gen Intel 8-Core i7-11800H I 64GB DDR4 1TB SSD I Geforce RTX 3060 6GB I Thunderbolt Backlit Win11 + 32GB MicroSD Card,"$2,499.00","December 8, 2021",16.1 Inches,1920 x 1080 pixels,Full HD (1920 x 1080) IPS 144Hz 7ms Pixels,2.3 GHz core_i7_11800h,64 GB DDR4,,1 TB SSD,NVIDIA GeForce RTX 3060 6GB Dedicated,NVIDIA,"Integrated, Dedicated",802.11ax,,,HP,HP Omen 16 144Hz i7 3060,HP Omen,PC,Windows 11,5.1 pounds,9.76 x 14.54 x 0.91 inches,,Black,Intel,8.0,DDR4 SDRAM,,Solid State,,AC & Battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1861,200.0,B0BP65RHQX,"ASUS 2022 Newest ROG Zephyrus 16"" FHD 165Hz Gaming Laptop-Intel Core i7-12700H (Beat i9-11900H), NVIDIA GeForce RTX 3060 (TGP 120W) - Thunderbolt 4 - with Mouse Pad (40GB DDR5 RAM| 2TB PCIe SSD)","$1,779.90","December 6, 2022",16 Inches,,1900x1200 Pixels,4.7 GHz core_i7,DDR5,,SSD,NVIDIA GeForce RTX 3060,NVIDIA,Dedicated,,4.0,,ASUS,ROG Zephyrus 16,,,Windows 11 Home,9 pounds,13.98 x 0.78 x 9.57 inches,,40GB DDR5 RAM| 2TB PCIe SSD,Intel,14.0,,2 TB,,,,1 Lithium Ion batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1862,200.0,B07Y28F8GK,"Lenovo Flex 14 2-in-1 Touchscreen Laptop, 8th Gen i5-8265U, 8GB RAM, 512GB SSD, 1080p, Backlit Keyboard, Fingerprint Reader",$699.99,"September 18, 2019",14 Inches,,1920 x 1080,,8 GB DDR4,2400 MHz,512 GB SSD,,Intel,Integrated,Bluetooth,,10 Hours,Lenovo,Lenovo Ideapad,Lenovo Flex 14 2-in-1,,Windows 10 Home,3.63 pounds,19.21 x 12.04 x 2.64 inches,,,Intel,4.0,DDR4 SDRAM,512 GB,,,Battery Powered,1 Lithium Polymer batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1863,200.0,B08HHSY2ZL,"Lenovo Legion 7i Gaming Laptop, 15.6"" Full HD 240Hz Screen, Intel Core i7-10750H 6-Core Processor, NVIDIA GeForce RTX2070 Graphics, RGB Backlit Keyboard, Windows 10 Home (32GB RAM | 1TB SSD)",,"September 6, 2020",15.6 Inches,,1920 x 1080 Pixels,2.6 GHz core_i7,32 GB DDR4,2.6 GHz,1 TB SSD,NVIDIA GeForce RTX 2070,NVIDIA,Dedicated,Bluetooth,,7 Hours,Lenovo,Legion,Legion,PC,Windows 10,4.62 pounds,,,Slate Grey,Intel,6.0,DDR4 SDRAM,,PCIE x 4,,Battery Powered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1865,200.0,B01MS14CQH,"ROG Strix GL502VM 15.6"" G-SYNC VR Ready Thin and Light Gaming Laptop NVIDIA GTX 1060 6GB Intel Core i7-7700HQ 16GB DDR4 128GB SSD 1TB HDD",,"December 31, 2016",15.6 Inches,,1920 x 1080 Pixels,2.8 GHz apple_ci7,16 GB DDR4,2133 MHz,1000 GB Hybrid Drive,NVIDIA GeForce GTX 1060,NVIDIA,Dedicated,802.11a/b/g/n/ac,3.0,,ASUS,GL502VM-DS74,GL502VM-DS74,PC,Windows 10,4.9 pounds,10.5 x 15.4 x 0.9 inches,,Laptop,Intel,4.0,Unknown,128,Serial ATA,No Optical Drive,Battery Powered,1 Lithium Polymer batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1866,200.0,B089239FHR,"Lenovo IdeaPad Gaming 3 15.6"" Full HD Gaming Notebook Computer, Intel Core i5-10300H 2.5GHz, 8GB RAM, 256GB SSD + 1TB HDD, NVIDIA GeForce GTX 1650 4GB, Windows 10 Home, Onyx Black",$739.99,"May 21, 2020",15.6 Inches,1920 x 1080 pixels,1920 x 1080,2.5 GHz 68lc040,8 GB DDR4,4.5 GHz,256 GB Embedded MultiMediaCard,NVIDIA GeForce GTX 1650,NVIDIA,Dedicated,"Bluetooth, 802.11ax",1.0,,Lenovo,Ideapad Gaming 3,IdeaPad Gaming 3,Windows,Windows 10 Home (English),7 pounds,14 x 10 x 1 inches,,Onyx Black,Intel,4.0,DDR4 SDRAM,256,,DVDRW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
